Nationality,Count,country
American,5181,United States of America
German,965,Germany
British,860,United Kingdom
French,847,France
Italian,536,Italy
Japanese,507,Japan
Swiss,297,Switzerland
Dutch,274,Netherlands
Russian,262,Russia
Austrian,239,Austria
Canadian,189,Canada
Brazilian,167,Brazil
Unknown,161,Point Nemo
Spanish,157,Spain
Argentine,142,Argentina
Mexican,135,Mexico
Polish,131,Poland
Swedish,128,Sweden
Danish,121,Denmark
Chinese,101,China
Belgian,96,Belgium
Czech,78,Czech Republic
Israeli,75,Israel
Chilean,70,Chile
South African,67,South Africa
Cuban,64,Cuba
Venezuelan,62,Venezuela
Finnish,62,Finland
Australian,55,Australia
Colombian,54,Colombia
Hungarian,53,Hungary
Norwegian,49,Norway
Indian,39,India
Peruvian,39,Peru
Croatian,34,Croatia
Korean,31,South Korea
Irish,24,Ireland
Uruguayan,23,Uruguay
Turkish,20,Turkey
Scottish,20,United Kingdom
Romanian,19,Romania
Haitian,17,Haiti
Slovenian,17,Slovenia
Serbian,16,Republic of Serbia
New Zealander,16,New Zealand
Ukrainian,13,Ukraine
Icelandic,12,Iceland
Egyptian,11,Egypt
Iranian,11,Iran
Greek,11,Greece
Portuguese,10,Portugal
Native American,10,United States of America
Lebanese,9,Lebanon
Slovak,8,Slovakia
Puerto Rican,7,Puerto Rico
Guatemalan,7,Guatemala
Bosnian,6,Bosnia and Herzegovina
Moroccan,6,Morocco
Georgian,6,Georgia
Congolese,6,Republic of the Congo
Nigerian,6,Nigeria
Vietnamese,5,Vietnam
Taiwanese,5,Taiwan
Bulgarian,5,Bulgaria
Zimbabwean,5,Zimbabwe
Czechoslovakian,5,Czech Republic
Macedonian,4,Macedonia
Ecuadorian,4,Ecuador
Pakistani,4,Pakistan
Palestinian,4,Palestine
Bolivian,3,Bolivia
Estonian,3,Estonia
Algerian,3,Algeria
Lithuanian,3,Lithuania
Albanian,3,Albania
Luxembourger,3,Luxembourg
Filipino,3,Philippines
Welsh,3,United Kingdom
Latvian,3,Latvia
Canadian Inuit,3,Canada
Malian,3,Mali
Ghanaian,3,Ghana
Ethiopian,2,Ethiopia
Nicaraguan,2,Nicaragua
Namibian,2,Namibia
Iraqi,2,Iraq
Tunisian,2,Tunisia
Senegalese,2,Senegal
Sudanese,2,Sudan
Emirati,2,United Arab Emirates
Kyrgyz,2,Kyrgyzstan
Singaporean,2,Singapore
Thai,2,Thailand
Costa Rican,2,Costa Rica
Cameroonian,2,Cameroon
Azerbaijani,2,Azerbaijan
Salvadoran,2,El Salvador
Malaysian,2,Malaysia
Panamanian,2,Panama
Paraguayan,2,Paraguay
Ivorian,1,Ivory Coast
Ugandan,1,Uganda
Cambodian,1,Cambodia
Cypriot,1,Cyprus
Sierra Leonean,1,Sierra Leone
Coptic,1,Egypt
Yugoslav,1,Republic of Serbia
Mozambican,1,Mozambique
Persian,1,Iran
Bahamian,1,The Bahamas
Bangladeshi,1,Bangladesh
Sahrawi,1,Western Sahara
Burkinabé,1,Burkina Faso
Catalan,1,Spain
Afghan,1,Afghanistan
Tanzanian,1,United Republic of Tanzania
Kenyan,1,Kenya
Beninese,1,Benin
Kuwaiti,1,Kuwait
