,DateAcquired_yr,Gender,Count
0,1929.0,male,9
1,1930.0,male,7
2,1931.0,male,3
3,1932.0,female,1
4,1932.0,male,16
5,1933.0,male,93
6,1934.0,female,4
7,1934.0,male,212
8,1935.0,female,5
9,1935.0,male,405
10,1936.0,female,12
11,1936.0,male,91
12,1937.0,female,11
13,1937.0,male,255
14,1938.0,female,7
15,1938.0,male,107
16,1939.0,female,5
17,1939.0,male,381
18,1940.0,female,191
19,1940.0,male,1294
20,1941.0,female,88
21,1941.0,male,803
22,1942.0,female,84
23,1942.0,male,785
24,1943.0,female,19
25,1943.0,male,410
26,1944.0,female,21
27,1944.0,male,290
28,1945.0,female,6
29,1945.0,male,261
30,1946.0,female,6
31,1946.0,male,145
32,1947.0,female,86
33,1947.0,male,312
34,1948.0,female,14
35,1948.0,male,352
36,1949.0,female,34
37,1949.0,male,1531
38,1950.0,female,18
39,1950.0,male,405
40,1951.0,female,74
41,1951.0,male,532
42,1952.0,female,40
43,1952.0,male,500
44,1953.0,female,16
45,1953.0,male,424
46,1954.0,female,26
47,1954.0,male,824
48,1955.0,female,11
49,1955.0,male,402
50,1956.0,female,23
51,1956.0,male,1031
52,1957.0,female,11
53,1957.0,male,276
54,1958.0,female,56
55,1958.0,male,568
56,1959.0,female,68
57,1959.0,male,736
58,1960.0,female,27
59,1960.0,male,399
60,1961.0,female,33
61,1961.0,male,504
62,1962.0,female,24
63,1962.0,male,491
64,1963.0,female,51
65,1963.0,male,849
66,1964.0,female,214
67,1964.0,male,12520
68,1965.0,female,236
69,1965.0,male,1757
70,1966.0,female,29
71,1966.0,male,1788
72,1967.0,female,204
73,1967.0,male,2128
74,1968.0,female,71
75,1968.0,male,6735
76,1969.0,female,168
77,1969.0,male,1977
78,1970.0,female,192
79,1970.0,male,998
80,1971.0,female,42
81,1971.0,male,737
82,1972.0,female,67
83,1972.0,male,775
84,1973.0,female,117
85,1973.0,male,935
86,1974.0,female,519
87,1974.0,male,2803
88,1975.0,female,43
89,1975.0,male,837
90,1976.0,female,54
91,1976.0,male,820
92,1977.0,female,163
93,1977.0,male,980
94,1978.0,female,121
95,1978.0,male,1159
96,1979.0,female,165
97,1979.0,male,915
98,1980.0,female,140
99,1980.0,male,507
100,1981.0,female,74
101,1981.0,male,1042
102,1982.0,female,69
103,1982.0,male,729
104,1983.0,female,99
105,1983.0,male,1002
106,1984.0,female,100
107,1984.0,male,716
108,1985.0,female,124
109,1985.0,male,868
110,1986.0,female,73
111,1986.0,male,911
112,1987.0,female,97
113,1987.0,male,1048
114,1988.0,female,150
115,1988.0,male,817
116,1989.0,female,105
117,1989.0,male,585
118,1990.0,female,236
119,1990.0,male,876
120,1991.0,female,118
121,1991.0,male,668
122,1992.0,female,214
123,1992.0,male,913
124,1993.0,female,426
125,1993.0,male,744
126,1994.0,female,278
127,1994.0,male,602
128,1995.0,female,498
129,1995.0,male,436
130,1996.0,female,298
131,1996.0,male,550
132,1997.0,female,248
133,1997.0,male,629
134,1998.0,female,145
135,1998.0,male,906
136,1999.0,female,153
137,1999.0,male,1440
138,2000.0,female,196
139,2000.0,male,1577
140,2000.0,non-binary,8
141,2001.0,female,549
142,2001.0,male,2278
143,2002.0,female,144
144,2002.0,male,463
145,2003.0,female,82
146,2003.0,male,405
147,2004.0,female,238
148,2004.0,male,433
149,2005.0,female,913
150,2005.0,male,2905
151,2006.0,female,277
152,2006.0,male,1070
153,2007.0,female,268
154,2007.0,male,1691
155,2008.0,female,1539
156,2008.0,male,3980
157,2009.0,female,402
158,2009.0,male,983
159,2010.0,female,403
160,2010.0,male,931
161,2011.0,female,434
162,2011.0,male,1256
163,2012.0,female,1109
164,2012.0,male,1504
165,2013.0,female,355
166,2013.0,male,1746
167,2014.0,female,256
168,2014.0,male,1917
169,2014.0,non-binary,1
170,2015.0,female,462
171,2015.0,male,2721
172,2016.0,female,547
173,2016.0,male,912
174,2017.0,female,306
175,2017.0,male,547
176,2017.0,non-binary,1
177,2018.0,female,912
178,2018.0,male,1277
179,2018.0,non-binary,1
180,2019.0,female,405
181,2019.0,male,1158
182,2020.0,female,153
183,2020.0,male,1318
184,2020.0,non-binary,1
185,2021.0,female,468
186,2021.0,male,308
187,2022.0,female,131
188,2022.0,male,184
