year,classification,female,male,non-binary
1929,All,0.0,7.0,0.0
1929,Drawing,0.0,1.0,0.0
1929,Print,0.0,6.0,0.0
1930,All,0.0,6.0,0.0
1930,Drawing,0.0,2.0,0.0
1930,Painting,0.0,1.0,0.0
1930,Print,0.0,1.0,0.0
1930,Sculpture,0.0,2.0,0.0
1931,All,0.0,3.0,0.0
1931,Painting,0.0,2.0,0.0
1931,Print,0.0,1.0,0.0
1932,All,1.0,7.0,0.0
1932,Architecture,0.0,1.0,0.0
1932,Drawing,0.0,3.0,0.0
1932,Painting,0.0,1.0,0.0
1932,Photograph,1.0,0.0,0.0
1932,Print,0.0,2.0,0.0
1933,All,0.0,3.0,0.0
1933,Photograph,0.0,1.0,0.0
1933,Print,0.0,2.0,0.0
1934,All,3.0,48.0,0.0
1934,Design,0.0,5.0,0.0
1934,Drawing,1.0,12.0,0.0
1934,Illustrated Book,0.0,1.0,0.0
1934,Painting,0.0,10.0,0.0
1934,Photograph,0.0,1.0,0.0
1934,Print,2.0,14.0,0.0
1934,Sculpture,0.0,5.0,0.0
1935,All,3.0,71.0,0.0
1935,Design,1.0,1.0,0.0
1935,Drawing,1.0,41.0,0.0
1935,Painting,0.0,14.0,0.0
1935,Photograph,0.0,2.0,0.0
1935,Print,1.0,13.0,0.0
1936,All,8.0,50.0,0.0
1936,Design,6.0,16.0,0.0
1936,Drawing,1.0,15.0,0.0
1936,Painting,0.0,13.0,0.0
1936,Print,0.0,2.0,0.0
1936,Sculpture,1.0,4.0,0.0
1937,All,8.0,118.0,0.0
1937,Design,4.0,70.0,0.0
1937,Drawing,2.0,16.0,0.0
1937,Illustrated Book,0.0,1.0,0.0
1937,Painting,1.0,14.0,0.0
1937,Photograph,1.0,4.0,0.0
1937,Print,0.0,1.0,0.0
1937,Sculpture,0.0,12.0,0.0
1938,All,3.0,41.0,0.0
1938,Architecture,0.0,1.0,0.0
1938,Design,1.0,5.0,0.0
1938,Drawing,0.0,2.0,0.0
1938,Film,0.0,1.0,0.0
1938,Painting,1.0,6.0,0.0
1938,Photograph,1.0,20.0,0.0
1938,Print,0.0,1.0,0.0
1938,Sculpture,0.0,5.0,0.0
1939,All,4.0,83.0,0.0
1939,Architecture,0.0,1.0,0.0
1939,Design,0.0,8.0,0.0
1939,Drawing,1.0,16.0,0.0
1939,Illustrated Book,0.0,1.0,0.0
1939,Painting,0.0,27.0,0.0
1939,Photograph,1.0,5.0,0.0
1939,Print,1.0,11.0,0.0
1939,Sculpture,1.0,14.0,0.0
1940,All,26.0,242.0,0.0
1940,Design,0.0,30.0,0.0
1940,Drawing,2.0,27.0,0.0
1940,Illustrated Book,0.0,1.0,0.0
1940,Painting,0.0,14.0,0.0
1940,Photograph,3.0,10.0,0.0
1940,Print,21.0,157.0,0.0
1940,Sculpture,0.0,3.0,0.0
1941,All,33.0,171.0,0.0
1941,Design,0.0,4.0,0.0
1941,Drawing,3.0,24.0,0.0
1941,Painting,2.0,32.0,0.0
1941,Photograph,18.0,86.0,0.0
1941,Print,8.0,19.0,0.0
1941,Sculpture,2.0,6.0,0.0
1942,All,23.0,184.0,0.0
1942,Design,4.0,6.0,0.0
1942,Drawing,5.0,51.0,0.0
1942,Illustrated Book,0.0,1.0,0.0
1942,Painting,4.0,37.0,0.0
1942,Photograph,3.0,25.0,0.0
1942,Poster,0.0,1.0,0.0
1942,Print,6.0,60.0,0.0
1942,Sculpture,1.0,3.0,0.0
1943,All,11.0,156.0,0.0
1943,Design,4.0,59.0,0.0
1943,Drawing,1.0,18.0,0.0
1943,Painting,1.0,21.0,0.0
1943,Photograph,4.0,21.0,0.0
1943,Print,0.0,29.0,0.0
1943,Sculpture,1.0,8.0,0.0
1944,All,18.0,108.0,0.0
1944,Design,2.0,20.0,0.0
1944,Drawing,2.0,15.0,0.0
1944,Illustrated Book,0.0,8.0,0.0
1944,Painting,3.0,13.0,0.0
1944,Photograph,8.0,28.0,0.0
1944,Print,2.0,23.0,0.0
1944,Sculpture,1.0,1.0,0.0
1945,All,4.0,89.0,0.0
1945,Design,1.0,23.0,0.0
1945,Drawing,0.0,13.0,0.0
1945,Illustrated Book,1.0,23.0,0.0
1945,Painting,2.0,12.0,0.0
1945,Print,0.0,15.0,0.0
1945,Sculpture,0.0,3.0,0.0
1946,All,4.0,34.0,0.0
1946,Design,0.0,8.0,0.0
1946,Drawing,0.0,5.0,0.0
1946,Illustrated Book,0.0,2.0,0.0
1946,Painting,0.0,5.0,0.0
