DateAcquired_yr,female,male,non-binary
1929.0,,9.0,
1930.0,,7.0,
1931.0,,3.0,
1932.0,1.0,16.0,
1933.0,,93.0,
1934.0,4.0,212.0,
1935.0,5.0,405.0,
1936.0,12.0,91.0,
1937.0,11.0,255.0,
1938.0,7.0,107.0,
1939.0,5.0,381.0,
1940.0,191.0,1294.0,
1941.0,88.0,803.0,
1942.0,84.0,785.0,
1943.0,19.0,410.0,
1944.0,21.0,290.0,
1945.0,6.0,261.0,
1946.0,6.0,145.0,
1947.0,86.0,312.0,
1948.0,14.0,352.0,
1949.0,34.0,1531.0,
1950.0,18.0,405.0,
1951.0,74.0,532.0,
1952.0,40.0,500.0,
1953.0,16.0,424.0,
1954.0,26.0,824.0,
1955.0,11.0,402.0,
1956.0,23.0,1031.0,
1957.0,11.0,276.0,
1958.0,56.0,568.0,
1959.0,68.0,736.0,
1960.0,27.0,399.0,
1961.0,33.0,504.0,
1962.0,24.0,491.0,
1963.0,51.0,849.0,
1964.0,214.0,12520.0,
1965.0,236.0,1757.0,
1966.0,29.0,1788.0,
1967.0,204.0,2128.0,
1968.0,71.0,6735.0,
1969.0,168.0,1977.0,
1970.0,192.0,998.0,
1971.0,42.0,737.0,
1972.0,67.0,775.0,
1973.0,117.0,935.0,
1974.0,519.0,2803.0,
1975.0,43.0,837.0,
1976.0,54.0,820.0,
1977.0,163.0,980.0,
1978.0,121.0,1159.0,
1979.0,165.0,915.0,
1980.0,140.0,507.0,
1981.0,74.0,1042.0,
1982.0,69.0,729.0,
1983.0,99.0,1002.0,
1984.0,100.0,716.0,
1985.0,124.0,868.0,
1986.0,73.0,911.0,
1987.0,97.0,1048.0,
1988.0,150.0,817.0,
1989.0,105.0,585.0,
1990.0,236.0,876.0,
1991.0,118.0,668.0,
1992.0,214.0,913.0,
1993.0,426.0,744.0,
1994.0,278.0,602.0,
1995.0,498.0,436.0,
1996.0,298.0,550.0,
1997.0,248.0,629.0,
1998.0,145.0,906.0,
1999.0,153.0,1440.0,
2000.0,196.0,1577.0,8.0
2001.0,549.0,2278.0,
2002.0,144.0,463.0,
2003.0,82.0,405.0,
2004.0,238.0,433.0,
2005.0,913.0,2905.0,
2006.0,277.0,1070.0,
2007.0,268.0,1691.0,
2008.0,1539.0,3980.0,
2009.0,402.0,983.0,
2010.0,403.0,931.0,
2011.0,434.0,1256.0,
2012.0,1109.0,1504.0,
2013.0,355.0,1746.0,
2014.0,256.0,1917.0,1.0
2015.0,462.0,2721.0,
2016.0,547.0,912.0,
2017.0,306.0,547.0,1.0
2018.0,912.0,1277.0,1.0
2019.0,405.0,1158.0,
2020.0,153.0,1318.0,1.0
2021.0,468.0,308.0,
2022.0,131.0,184.0,
