Year,female,male,nb,ratio,f_ratio,m_ratio
1929,0,6,0,0,0,1
1930,0,6,0,0,0,1
1931,0,3,0,0,0,1
1932,1,7,0,0.14285714285714285,0.125,0.875
1933,0,3,0,0,0,1
1934,3,41,0,0.07317073170731707,0.06818181818181818,0.9318181818181818
1935,3,61,0,0.04918032786885246,0.046875,0.953125
1936,8,44,0,0.18181818181818182,0.15384615384615385,0.8461538461538461
1937,7,110,0,0.06363636363636363,0.05982905982905983,0.9401709401709402
1938,3,41,0,0.07317073170731707,0.06818181818181818,0.9318181818181818
1939,4,76,0,0.05263157894736842,0.05,0.95
1940,24,221,0,0.1085972850678733,0.09795918367346938,0.9020408163265307
1941,32,162,0,0.19753086419753085,0.16494845360824742,0.8350515463917526
1942,22,166,0,0.13253012048192772,0.11702127659574468,0.8829787234042553
1943,11,154,0,0.07142857142857142,0.06666666666666667,0.9333333333333333
1944,17,99,0,0.1717171717171717,0.14655172413793102,0.853448275862069
1945,4,76,0,0.05263157894736842,0.05,0.95
1946,4,34,0,0.11764705882352941,0.10526315789473684,0.8947368421052632
1947,13,109,0,0.11926605504587157,0.10655737704918032,0.8934426229508197
1948,10,109,0,0.09174311926605505,0.08403361344537816,0.9159663865546218
1949,24,234,0,0.10256410256410256,0.09302325581395349,0.9069767441860465
1950,14,125,0,0.112,0.10071942446043165,0.8992805755395683
1951,11,146,0,0.07534246575342465,0.07006369426751592,0.9299363057324841
1952,16,154,0,0.1038961038961039,0.09411764705882353,0.9058823529411765
1953,12,168,0,0.07142857142857142,0.06666666666666667,0.9333333333333333
1954,20,282,0,0.07092198581560284,0.06622516556291391,0.9337748344370861
1955,9,149,0,0.06040268456375839,0.056962025316455694,0.9430379746835443
1956,10,261,0,0.038314176245210725,0.03690036900369004,0.9630996309963099
1957,9,130,0,0.06923076923076923,0.06474820143884892,0.935251798561151
1958,22,239,0,0.09205020920502092,0.0842911877394636,0.9157088122605364
1959,28,280,0,0.1,0.09090909090909091,0.9090909090909091
1960,20,184,0,0.10869565217391304,0.09803921568627451,0.9019607843137255
1961,24,211,0,0.11374407582938388,0.10212765957446808,0.8978723404255319
1962,12,143,0,0.08391608391608392,0.07741935483870968,0.9225806451612903
1963,22,247,0,0.08906882591093117,0.08178438661710037,0.9182156133828996
1964,56,532,0,0.10526315789473684,0.09523809523809523,0.9047619047619048
1965,34,362,0,0.09392265193370165,0.08585858585858586,0.9141414141414141
1966,19,282,0,0.0673758865248227,0.06312292358803986,0.9368770764119602
1967,40,511,0,0.07827788649706457,0.07259528130671507,0.9274047186932849
1968,41,378,0,0.10846560846560846,0.09785202863961814,0.9021479713603818
1969,38,374,0,0.10160427807486631,0.09223300970873786,0.9077669902912622
1970,27,225,0,0.12,0.10714285714285714,0.8928571428571429
1971,18,183,0,0.09836065573770492,0.08955223880597014,0.9104477611940298
1972,18,149,0,0.12080536912751678,0.10778443113772455,0.8922155688622755
1973,26,217,0,0.11981566820276497,0.10699588477366255,0.8930041152263375
1974,53,290,0,0.18275862068965518,0.15451895043731778,0.8454810495626822
1975,27,187,0,0.1443850267379679,0.1261682242990654,0.8738317757009346
1976,19,240,0,0.07916666666666666,0.07335907335907337,0.9266409266409267
1977,57,300,0,0.19,0.15966386554621848,0.8403361344537815
1978,42,280,0,0.15,0.13043478260869565,0.8695652173913043
1979,47,286,0,0.16433566433566432,0.14114114114114115,0.8588588588588588
1980,39,195,0,0.2,0.16666666666666666,0.8333333333333334
1981,31,279,0,0.1111111111111111,0.1,0.9
1982,26,236,0,0.11016949152542373,0.09923664122137404,0.9007633587786259
1983,45,301,0,0.14950166112956811,0.13005780346820808,0.869942196531792
1984,48,243,0,0.19753086419753085,0.16494845360824742,0.8350515463917526
1985,50,331,0,0.1510574018126888,0.13123359580052493,0.868766404199475
1986,38,278,0,0.1366906474820144,0.12025316455696203,0.879746835443038
1987,69,344,0,0.2005813953488372,0.16707021791767554,0.8329297820823245
1988,58,226,0,0.25663716814159293,0.20422535211267606,0.795774647887324
1989,31,203,0,0.15270935960591134,0.13247863247863248,0.8675213675213675
1990,47,220,0,0.21363636363636362,0.1760299625468165,0.8239700374531835
1991,49,196,0,0.25,0.2,0.8
1992,56,261,0,0.21455938697318008,0.17665615141955837,0.8233438485804416
1993,46,200,0,0.23,0.18699186991869918,0.8130081300813008
1994,50,228,0,0.21929824561403508,0.17985611510791366,0.8201438848920863
1995,45,155,0,0.2903225806451613,0.225,0.775
1996,46,176,0,0.26136363636363635,0.2072072072072072,0.7927927927927928
1997,58,222,0,0.26126126126126126,0.20714285714285716,0.7928571428571428
1998,78,252,0,0.30952380952380953,0.23636363636363636,0.7636363636363637
1999,56,200,0,0.28,0.21875,0.78125
2000,53,214,1,0.2523364485981308,0.20149253731343283,0.7985074626865671
2001,115,574,0,0.20034843205574912,0.16690856313497823,0.8330914368650217
2002,45,125,0,0.36,0.2647058823529412,0.7352941176470589
2003,41,120,0,0.3416666666666667,0.2546583850931677,0.7453416149068323
2004,66,165,0,0.4,0.2857142857142857,0.7142857142857143
2005,225,630,0,0.35714285714285715,0.2631578947368421,0.7368421052631579
2006,125,383,0,0.3263707571801567,0.24606299212598426,0.7539370078740157
2007,78,258,0,0.3023255813953488,0.23214285714285715,0.7678571428571429
2008,76,327,0,0.2324159021406728,0.18858560794044665,0.8114143920595533
2009,65,170,0,0.38235294117647056,0.2765957446808511,0.723404255319149
2010,74,196,0,0.37755102040816324,0.2740740740740741,0.725925925925926
2011,88,209,0,0.42105263157894735,0.2962962962962963,0.7037037037037037
2012,82,211,0,0.3886255924170616,0.27986348122866894,0.7201365187713311
2013,90,282,0,0.3191489361702128,0.24193548387096775,0.7580645161290323
2014,65,210,1,0.3142857142857143,0.2391304347826087,0.7608695652173914
2015,103,426,0,0.24178403755868544,0.1947069943289225,0.8052930056710775
2016,79,242,0,0.32644628099173556,0.24610591900311526,0.7538940809968847
2017,100,176,1,0.5738636363636364,0.36462093862815886,0.6353790613718412
2018,136,368,1,0.37228260869565216,0.2712871287128713,0.7287128712871287
2019,74,101,0,0.7326732673267327,0.4228571428571429,0.5771428571428572
2020,76,52,1,1.4807692307692308,0.5968992248062015,0.40310077519379844
2021,100,90,0,1.1111111111111112,0.5263157894736842,0.47368421052631576
2022,39,70,0,0.5571428571428572,0.3577981651376147,0.6422018348623854
