,DateAcquired,Gender_y,Classification,gender_year_classification_count,gender_year_count
0,1929,male,Drawing,1,7
1,1929,male,Print,6,7
2,1930,male,Drawing,2,6
3,1930,male,Painting,1,6
4,1930,male,Print,1,6
5,1930,male,Sculpture,2,6
6,1931,male,Painting,2,3
7,1931,male,Print,1,3
8,1932,female,Photograph,1,1
9,1932,male,Architecture,1,7
10,1932,male,Drawing,3,7
11,1932,male,Painting,1,7
12,1932,male,Print,2,7
13,1933,male,Photograph,1,3
14,1933,male,Print,2,3
15,1934,female,Drawing,1,3
16,1934,female,Print,2,3
17,1934,male,Design,5,48
18,1934,male,Drawing,12,48
19,1934,male,Illustrated Book,1,48
20,1934,male,Painting,10,48
21,1934,male,Photograph,1,48
22,1934,male,Print,14,48
23,1934,male,Sculpture,5,48
24,1935,female,Design,1,3
25,1935,female,Drawing,1,3
26,1935,female,Print,1,3
27,1935,male,Design,1,71
28,1935,male,Drawing,41,71
29,1935,male,Painting,14,71
30,1935,male,Photograph,2,71
31,1935,male,Print,13,71
32,1936,female,Design,6,8
33,1936,female,Drawing,1,8
34,1936,female,Sculpture,1,8
35,1936,male,Design,16,50
36,1936,male,Drawing,15,50
37,1936,male,Painting,13,50
38,1936,male,Print,2,50
39,1936,male,Sculpture,4,50
40,1937,female,Design,4,8
41,1937,female,Drawing,2,8
42,1937,female,Painting,1,8
43,1937,female,Photograph,1,8
44,1937,male,Design,70,118
45,1937,male,Drawing,16,118
46,1937,male,Illustrated Book,1,118
47,1937,male,Painting,14,118
48,1937,male,Photograph,4,118
49,1937,male,Print,1,118
50,1937,male,Sculpture,12,118
51,1938,female,Design,1,3
52,1938,female,Painting,1,3
53,1938,female,Photograph,1,3
54,1938,male,Architecture,1,41
55,1938,male,Design,5,41
56,1938,male,Drawing,2,41
57,1938,male,Film,1,41
58,1938,male,Painting,6,41
59,1938,male,Photograph,20,41
60,1938,male,Print,1,41
61,1938,male,Sculpture,5,41
62,1939,female,Drawing,1,4
63,1939,female,Photograph,1,4
64,1939,female,Print,1,4
65,1939,female,Sculpture,1,4
66,1939,male,Architecture,1,83
67,1939,male,Design,8,83
68,1939,male,Drawing,16,83
69,1939,male,Illustrated Book,1,83
70,1939,male,Painting,27,83
71,1939,male,Photograph,5,83
72,1939,male,Print,11,83
73,1939,male,Sculpture,14,83
74,1940,female,Drawing,2,26
75,1940,female,Photograph,3,26
76,1940,female,Print,21,26
77,1940,male,Design,30,242
78,1940,male,Drawing,27,242
79,1940,male,Illustrated Book,1,242
80,1940,male,Painting,14,242
81,1940,male,Photograph,10,242
82,1940,male,Print,157,242
83,1940,male,Sculpture,3,242
84,1941,female,Drawing,3,33
85,1941,female,Painting,2,33
86,1941,female,Photograph,18,33
87,1941,female,Print,8,33
