,DateAcquired_yr,Gender,Count
0,1929,male,6
1,1930,male,6
2,1931,male,3
3,1932,female,1
4,1932,male,7
5,1933,male,3
6,1934,female,3
7,1934,male,41
8,1935,female,3
9,1935,male,61
10,1936,female,8
11,1936,male,44
12,1937,female,7
13,1937,male,110
14,1938,female,3
15,1938,male,41
16,1939,female,4
17,1939,male,76
18,1940,female,24
19,1940,male,221
20,1941,female,32
21,1941,male,162
22,1942,female,22
23,1942,male,166
24,1943,female,11
25,1943,male,154
26,1944,female,17
27,1944,male,99
28,1945,female,4
29,1945,male,76
30,1946,female,4
31,1946,male,34
32,1947,female,13
33,1947,male,109
34,1948,female,10
35,1948,male,109
36,1949,female,24
37,1949,male,234
38,1950,female,14
39,1950,male,125
40,1951,female,11
41,1951,male,146
42,1952,female,16
43,1952,male,154
44,1953,female,12
45,1953,male,168
46,1954,female,20
47,1954,male,282
48,1955,female,9
49,1955,male,149
50,1956,female,10
51,1956,male,261
52,1957,female,9
53,1957,male,130
54,1958,female,22
55,1958,male,239
56,1959,female,28
57,1959,male,280
58,1960,female,20
59,1960,male,184
60,1961,female,24
61,1961,male,211
62,1962,female,12
63,1962,male,143
64,1963,female,22
65,1963,male,247
66,1964,female,56
67,1964,male,532
68,1965,female,34
69,1965,male,362
70,1966,female,19
71,1966,male,282
72,1967,female,40
73,1967,male,511
74,1968,female,41
75,1968,male,378
76,1969,female,38
77,1969,male,374
78,1970,female,27
79,1970,male,225
80,1971,female,18
81,1971,male,183
82,1972,female,18
83,1972,male,149
84,1973,female,26
85,1973,male,217
86,1974,female,53
87,1974,male,290
88,1975,female,27
89,1975,male,187
90,1976,female,19
91,1976,male,240
92,1977,female,57
93,1977,male,300
94,1978,female,42
95,1978,male,280
96,1979,female,47
97,1979,male,286
98,1980,female,39
99,1980,male,195
100,1981,female,31
101,1981,male,279
102,1982,female,26
103,1982,male,236
104,1983,female,45
105,1983,male,301
106,1984,female,48
107,1984,male,243
108,1985,female,50
109,1985,male,331
110,1986,female,38
111,1986,male,278
112,1987,female,69
113,1987,male,344
114,1988,female,58
115,1988,male,226
116,1989,female,31
117,1989,male,203
118,1990,female,47
119,1990,male,220
120,1991,female,49
121,1991,male,196
122,1992,female,56
123,1992,male,261
124,1993,female,46
125,1993,male,200
126,1994,female,50
127,1994,male,228
128,1995,female,45
129,1995,male,155
130,1996,female,46
131,1996,male,176
132,1997,female,58
133,1997,male,222
134,1998,female,78
135,1998,male,252
136,1999,female,56
137,1999,male,200
138,2000,female,53
139,2000,male,214
140,2000,non-binary,1
141,2001,female,115
142,2001,male,574
143,2002,female,45
144,2002,male,125
145,2003,female,41
146,2003,male,120
147,2004,female,66
148,2004,male,165
149,2005,female,225
150,2005,male,630
151,2006,female,125
152,2006,male,383
153,2007,female,78
154,2007,male,258
155,2008,female,76
156,2008,male,327
157,2009,female,65
158,2009,male,170
159,2010,female,74
160,2010,male,196
161,2011,female,88
162,2011,male,209
163,2012,female,82
164,2012,male,211
165,2013,female,90
166,2013,male,282
167,2014,female,65
168,2014,male,210
169,2014,non-binary,1
170,2015,female,103
171,2015,male,426
172,2016,female,79
173,2016,male,242
174,2017,female,100
175,2017,male,176
176,2017,non-binary,1
177,2018,female,136
178,2018,male,368
179,2018,non-binary,1
180,2019,female,74
181,2019,male,101
182,2020,female,76
183,2020,male,52
184,2020,non-binary,1
185,2021,female,100
186,2021,male,90
187,2022,female,39
188,2022,male,70
