DateAcquired_yr,female,male,non-binary
1929,,6.0,
1930,,6.0,
1931,,3.0,
1932,1.0,7.0,
1933,,3.0,
1934,3.0,41.0,
1935,3.0,61.0,
1936,8.0,44.0,
1937,7.0,110.0,
1938,3.0,41.0,
1939,4.0,76.0,
1940,24.0,221.0,
1941,32.0,162.0,
1942,22.0,166.0,
1943,11.0,154.0,
1944,17.0,99.0,
1945,4.0,76.0,
1946,4.0,34.0,
1947,13.0,109.0,
1948,10.0,109.0,
1949,24.0,234.0,
1950,14.0,125.0,
1951,11.0,146.0,
1952,16.0,154.0,
1953,12.0,168.0,
1954,20.0,282.0,
1955,9.0,149.0,
1956,10.0,261.0,
1957,9.0,130.0,
1958,22.0,239.0,
1959,28.0,280.0,
1960,20.0,184.0,
1961,24.0,211.0,
1962,12.0,143.0,
1963,22.0,247.0,
1964,56.0,532.0,
1965,34.0,362.0,
1966,19.0,282.0,
1967,40.0,511.0,
1968,41.0,378.0,
1969,38.0,374.0,
1970,27.0,225.0,
1971,18.0,183.0,
1972,18.0,149.0,
1973,26.0,217.0,
1974,53.0,290.0,
1975,27.0,187.0,
1976,19.0,240.0,
1977,57.0,300.0,
1978,42.0,280.0,
1979,47.0,286.0,
1980,39.0,195.0,
1981,31.0,279.0,
1982,26.0,236.0,
1983,45.0,301.0,
1984,48.0,243.0,
1985,50.0,331.0,
1986,38.0,278.0,
1987,69.0,344.0,
1988,58.0,226.0,
1989,31.0,203.0,
1990,47.0,220.0,
1991,49.0,196.0,
1992,56.0,261.0,
1993,46.0,200.0,
1994,50.0,228.0,
1995,45.0,155.0,
1996,46.0,176.0,
1997,58.0,222.0,
1998,78.0,252.0,
1999,56.0,200.0,
2000,53.0,214.0,1.0
2001,115.0,574.0,
2002,45.0,125.0,
2003,41.0,120.0,
2004,66.0,165.0,
2005,225.0,630.0,
2006,125.0,383.0,
2007,78.0,258.0,
2008,76.0,327.0,
2009,65.0,170.0,
2010,74.0,196.0,
2011,88.0,209.0,
2012,82.0,211.0,
2013,90.0,282.0,
2014,65.0,210.0,1.0
2015,103.0,426.0,
2016,79.0,242.0,
2017,100.0,176.0,1.0
2018,136.0,368.0,1.0
2019,74.0,101.0,
2020,76.0,52.0,1.0
2021,100.0,90.0,
2022,39.0,70.0,
